category	name	unity
ACESSÓRIOS DE PAREDE	CORTINA EM ROLO	un
ACESSÓRIOS DE PAREDE	PROTETOR DE PAREDE,TIPO BATE-MACA	m
AÇOS	ARAME GALVANIZADO BWG Nº10	kg
AÇOS	ARAME GALVANIZADO BWG Nº14	kg
AÇOS	ARAME GALVANIZADO BWG Nº16	kg
AÇOS	ARAME GALVANIZADO BWG Nº18	kg
AÇOS	ARAME GALVANIZADO GRIPPLE TRAPEZIO 2	kg
AÇOS	ARAME GALVANIZADO GRIPPLE TZ2	kg
AÇOS	ARAME RECOZIDO BWG Nº10	kg
AÇOS	ARAME RECOZIDO BWG Nº12	kg
AÇOS	ARAME RECOZIDO BWG Nº14	kg
AÇOS	ARAME RECOZIDO BWG Nº16	kg
AÇOS	ARAME RECOZIDO BWG Nº18	kg
AÇOS	BARRA DE TRANSFERENCIA EM ACO CA-25, DIÂMETRO 32,0MM	kg
AÇOS	BARRA DE TRANSFERENCIA EM ACO CA-25, DIÂMETRO 12,5MM	kg
AÇOS	BARRA DE TRANSFERENCIA EM ACO CA-25, DIÂMETRO 16,0MM	kg
AÇOS	BARRA DE TRANSFERENCIA EM ACO CA-25, DIÂMETRO 20,0MM	kg
AÇOS	BARRA DE TRANSFERENCIA EM ACO CA-25, DIÂMETRO 25,0MM	kg
AÇOS	ESPACADOR TRELICA 6,0X4,2X4,2	un
AÇOS	PERFIL "W" A572 GR 50 200X31,3CM	kg
AÇOS	PREGO DE ACO 17X27, 1 CABECA	kg
AÇOS	PREGO GALVANIZADO 12X12, 1 CABECA	kg
AÇOS	PREGO GALVANIZADO 15X15, 1 CABECA	kg
AÇOS	PREGO GALVANIZADO 15X21, 1 CABECA	kg
AÇOS	PREGO GALVANIZADO 16X24, 1 CABECA	kg
AÇOS	PREGO GALVANIZADO 17X21, 1 CABECA	kg
AÇOS	PREGO GALVANIZADO 17X27, 1 CABECA	kg
AÇOS	PREGO GALVANIZADO 17X27, 2 CABECAS	kg
AÇOS	PREGO GALVANIZADO 18x30 2 CABECAS	kg
AÇOS	PREGO GALVANIZADO 18X30, 1 CABECA	kg
AÇOS	PREGO GALVANIZADO 18X32 2 CABECAS	kg
AÇOS	PREGO GALVANIZADO 18X36 2 CABECAS	kg
AÇOS	PREGO GALVANIZADO 18X36, 1 CABECA	kg
AÇOS	PREGO GALVANIZADO 19X36, 1 CABECA	kg
AÇOS	PREGO GALVANIZADO 20X48, 1 CABECA	kg
AÇOS	PREGO TELHEIRO 18X30, 1 CABECA	kg
AÇOS	PREGO TELHEIRO 18X36, 1 CABECA	kg
AÇOS	TELA DE ACO SOLDADA NERVURADA CA-60, EQ-45, (0,710 KG/M2), DIAMETRO DO FIO = 3,4 MM, ESPACAMENTO DA MALHA = 20 X 20 CM	kg
AÇOS	TELA DE ACO SOLDADA NERVURADA CA-60, EQ-92, (1,490 KG/M2), DIAMETRO DO FIO = 4,2 MM, ESPACAMENTO DA MALHA = 15 X 15 CM	kg
AÇOS	TELA DE ACO SOLDADA NERVURADA CA-60, Q-113, (1,798 KG/M2), DIAMETRO DO FIO = 3,8 MM, ESPACAMENTO DA MALHA = 10 X 10 CM	kg
AÇOS	TELA DE ACO SOLDADA NERVURADA CA-60, Q-61, (0,966 KG/M2), DIAMETRO DO FIO = 3,4 MM, ESPACAMENTO DA MALHA = 15 X 15 CM	kg
AÇOS	TELA DE ACO SOLDADA NERVURADA CA-60, Q-75, (1,211 KG/M2), DIAMETRO DO FIO = 3,8 MM, ESPACAMENTO DA MALHA = 15 X 15 CM	kg
AÇOS	TELA DE ACO SOLDADA NERVURADA CA-60, Q-92, (1,483 KG/M2), DIAMETRO DO FIO = 4,2 MM, ESPACAMENTO DA MALHA = 15 X 15 CM	kg
AÇOS	TELA DE AMARRACAO GALVANIZADA - #10,0 MM	un
AÇOS	TELA DE AMARRACAO GALVANIZADA - #12,0 MM	un
AÇOS	TELA DE AMARRACAO GALVANIZADA - #7,5 MM	un
AÇOS	TELA METALICA TIPO GALINHEIRO C/ 1,80M	m²
AÇOS	VERGALHAO EM ACO CA-50 DIÂMETRO 10,0MM - BARRA C/ 12 METROS	un
AÇOS	VERGALHAO EM ACO CA-50 DIÂMETRO 12,5MM - BARRA C/ 12 METROS	un
AÇOS	VERGALHAO EM ACO CA-50 DIÂMETRO 16,0MM - BARRA C/ 12 METROS	un
AÇOS	VERGALHAO EM ACO CA-50 DIÂMETRO 20,0MM - BARRA C/ 12 METROS	un
AÇOS	VERGALHAO EM ACO CA-50 DIÂMETRO 25,0MM - BARRA C/ 12 METROS	un
AÇOS	VERGALHAO EM ACO CA-50 DIÂMETRO 6,3MM - BARRA C/ 12 METROS	un
AÇOS	VERGALHAO EM ACO CA-50 DIÂMETRO 8,0MM - BARRA C/ 12 METROS	un
AÇOS	VERGALHAO EM ACO CA-60 DIÂMETRO 4,2MM - BARRA C/ 12 METROS	un
AÇOS	VERGALHAO EM ACO CA-60 DIÂMETRO 5,0MM - BARRA C/ 12 METROS	un
AÇOS	VERGALHAO EM ACO CA-60 DIÂMETRO 6,0MM - BARRA C/ 12 METROS	un
AÇOS	VERGALHAO EM ACO CA-60 DIÂMETRO 7,0MM - BARRA C/ 12 METROS	un
AÇOS	VERGALHAO EM ACO CA-60 DIÂMETRO 8,0MM - BARRA C/ 12 METROS	un
AÇOS	VERGALHAO EM ACO CA-60 DIÂMETRO 9,5MM - BARRA C/ 12 METROS	M
AÇOS	PERFIL "W" 250X38,5KG	kg
AÇOS	PREGO DE ACO 18X36, 1 CABECA	kg
AÇOS	CLAVETE	un
AÇOS	VALVULA MANCHETE 32MM	un
AÇOS	ESPACADOR TIPO CARAMBOLA 32MM	un
AÇOS	BLOCO C/4 FUROS P/TIRANTE	un
AÇOS	BLOCO C/ 6FUROS P/TIRANTE	un
AÇOS	CUNHA SOLDADA 250X250X20MM P/ AJUSTE DO ANGULO TIRANTE	un
AÇOS	CUNHA SOLDADA 250X250X25MM P/ AJUSTE DO ANGULO TIRANTE	un
AÇOS	CORDOALHA 19 FIOS 12,7 NUA	kg
AÇOS	ESPAGUETE P/CORDOALHA 16MM	m
AÇOS	ESPACADOR TIPO ROLETE	un
AÇOS	CHAPA METALICA P/ TIRANTE	un
AÇOS	ESPACADOR DISCO	un
AÇOS	LONGARINA P/ PERFIL W 250 X 33,5 KG	kg
AÇOS	HASTE ROSCADA DE ACO INOX 1/2" (160 MM)	un
AÇOS	ESPERA DE ANCORAGEM 1/2"	un
AÇOS	HASTE ROSCADA DE ACO INOX 1/2 (200 MM)	un
AÇOS	HASTE ROSCADA DE ACO INOX 1/2 (250 MM)	un
AÇOS	PRESILHA ACO GALVANIZADO P/ CABO DE 8MM	un
AÇOS	SAPATILHA ACO GALVANIZADO P/ CABO DE 8MM	un
AÇOS	ESTICADORES ACO GALVANIZADO P/ CABO DE 8MM	un
AÇOS	ARAME GALVANIZADO BWG Nº12	kg
AÇOS	TELA DE ACO SOLDADA NERVURADA CA-60, Q-138, (2,20 KG/M2), DIAMETRO DO FIO = 4,2 MM, ESPACAMENTO DA MALHA = 15 X 15 CM	kg
AÇOS	PREGO DE ACO 15X21, 1 CABECA	kg
AÇOS	VERGALHAO EM ACO CA-25 DIÂMETRO 20,0MM - BARRA C/ 12 METROS	kg
AÇOS	PRESILHA ACO GALVANIZADO P/ CABO DE 3/8"	un
AÇOS	SAPATILHA ACO GALVANIZADO P/ CABO DE 3/8"	un
AÇOS	ESTICADORES ACO GALVANIZADO P/ CABO DE 3/8	un
AÇOS	OLHAL DE ANCORAGEM 3/8"	un
AÇOS	OLHAL DE ANCORAGEM 5/16"	un
AÇOS	BARRA EM ACO CA-25, DIÂMETRO8,0MM GALVANIZADO A FOGO (RE-BAR)	m
AÇOS	TELA DE ACO SOLDADA NERVURADA CA-60, Q-196, (3,11 KG/M2), DIAMETRO DO FIO = 5,0 MM, ESPACAMENTO DA MALHA = 10 X 10 CM	kg
AÇOS	TELA DE ACO SOLDADA NERVURADA CA-60, EQ-138, (2,18 KG/M2), DIAMETRO DO FIO = 4,2 MM, ESPACAMENTO DA MALHA = 10 X 10 CM	kg
AÇOS	TELA DE AMARRACAO GALVANIZADA - #7,5 MM	un
AGLOMERANTES	ADESIVO FADECRIL	kg
AGLOMERANTES	ADESIVO GLOBALFIX	kg
AGLOMERANTES	CAL FINO	un
AGLOMERANTES	CAL HIDRATADO	un
AGLOMERANTES	CAL VIRGEM 	kg
AGLOMERANTES	CIMENTO BRANCO	kg
AGLOMERANTES	CIMENTO PORTLAND CPII-F-32	kg
